เขต,เครือข่าย,ประเภท,รหัสหน่วยบริการ,ชื่อหน่วยบริการ,วัคซีน,Measure Names,Measure Values
เขต 7 ขอนแก่น,11077,แม่ข่าย,11077,รพ.นามน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,746
เขต 7 ขอนแก่น,11077,แม่ข่าย,11077,รพ.นามน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),900
เขต 7 ขอนแก่น,11077,แม่ข่าย,11077,รพ.นามน,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),3800
เขต 7 ขอนแก่น,11077,ลูกข่าย,05311,รพ.สต.บ้านโนนศรีสวัสดิ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,198
เขต 7 ขอนแก่น,11077,ลูกข่าย,05311,รพ.สต.บ้านโนนศรีสวัสดิ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),300
เขต 7 ขอนแก่น,11077,ลูกข่าย,05311,รพ.สต.บ้านโนนศรีสวัสดิ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,11077,ลูกข่าย,05312,รพ.สต.บ้านยอดแกง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,575
เขต 7 ขอนแก่น,11077,ลูกข่าย,05312,รพ.สต.บ้านยอดแกง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),600
เขต 7 ขอนแก่น,11077,ลูกข่าย,05312,รพ.สต.บ้านยอดแกง,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,11077,ลูกข่าย,05313,รพ.สต.บ้านหัวงัง (บ้านหัวงัว),V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,398
